"Observed","Total","Completeness","Mean","Median","Min","Max","field_name","form_name","section_header","field_type","field_label","select_choices_or_calculations","field_note","text_validation_type_or_show_slider_number","text_validation_min","text_validation_max","identifier","branching_logic","required_field","custom_alignment","question_number","matrix_group_name","matrix_ranking","field_annotation"
"2343","2344","100",NA,NA,NA,NA,"s6_q9","questionnaires",NA,"radio","People try not to touch others with TB","3, Strongly Agree|2, Agree|1, Disagree|0, Strongly Disagree",NA,NA,NA,NA,NA,"[ques_language] = '1'","y",NA,NA,"s6_matrix",NA,NA
"2343","2344","100",NA,NA,NA,NA,"s6_q10","questionnaires",NA,"radio","People prefer not to have those with TB living in their community","3, Strongly Agree|2, Agree|1, Disagree|0, Strongly Disagree",NA,NA,NA,NA,NA,"[ques_language] = '1'","y",NA,NA,"s6_matrix",NA,NA
NA,NA,NA,NA,NA,NA,NA,"instruct9","questionnaires",NA,"descriptive","<div class=""rich-text-field-label""><p><span style=""color: #236fa1;"">Sinomdla<span style=""text-decoration: underline;""> kwindlela oziva ngayo ngezi nkcazo zilandelayo malunga ne-TB.</span> Funda ingxelo nganye ngononophelo. Bonisa indlela ovakalelwa ngayo ngengxelo nganye.</span></p></div>",NA,NA,NA,NA,NA,NA,"[ques_language] = '2'",NA,NA,NA,NA,NA,NA
"1235","1236","99.9",NA,NA,NA,NA,"s6_q1x","questionnaires",NA,"radio","Abantu basenongakufuni ukutya okanye ukusela nabahlobo abanesifo sephepha","3, Uvumelana kakhulu | 2, Uyavumelana | 1, Awuvumelani | 0, Awuvumelani kakhulu",NA,NA,NA,NA,NA,"[ques_language] = '2'","y",NA,NA,"s6_matrixx",NA,NA
"1235","1236","99.9",NA,NA,NA,NA,"s6_q2x","questionnaires",NA,"radio","Abantu basenongakufuni ukutya okanye ukusela nezihlobo ezinesifo sephepha","3, Uvumelana kakhulu | 2, Uyavumelana | 1, Awuvumelani | 0, Awuvumelani kakhulu",NA,NA,NA,NA,NA,"[ques_language] = '2'","y",NA,NA,"s6_matrixx",NA,NA
"1235","1236","99.9",NA,NA,NA,NA,"s6_q3x","questionnaires",NA,"radio","Abantu baziva bengakhululekanga kukuba kufuphi nabo banesifo sephepha","3, Uvumelana kakhulu | 2, Uyavumelana | 1, Awuvumelani | 0, Awuvumelani kakhulu",NA,NA,NA,NA,NA,"[ques_language] = '2'","y",NA,NA,"s6_matrixx",NA,NA
"1235","1236","99.9",NA,NA,NA,NA,"s6_q4x","questionnaires",NA,"radio","Ukuba umntu unesifo sephepha, abantu ekuhlaleni bamphatha ngendlela eyohlukileyo ubomi bakhe bonke","3, Uvumelana kakhulu | 2, Uyavumelana | 1, Awuvumelani | 0, Awuvumelani kakhulu",NA,NA,NA,NA,NA,"[ques_language] = '2'","y",NA,NA,"s6_matrixx",NA,NA
"1235","1236","99.9",NA,NA,NA,NA,"s6_q5x","questionnaires",NA,"radio","Abantu abangethandi ukuba abo banesifo sephepha badlale nabantwana babo","3, Uvumelana kakhulu | 2, Uyavumelana | 1, Awuvumelani | 0, Awuvumelani kakhulu",NA,NA,NA,NA,NA,"[ques_language] = '2'","y",NA,NA,"s6_matrixx",NA,NA
"1235","1236","99.9",NA,NA,NA,NA,"s6_q6x","questionnaires",NA,"radio","Abantu bahlalela kude kubantu abanesifo sephepha","3, Uvumelana kakhulu | 2, Uyavumelana | 1, Awuvumelani | 0, Awuvumelani kakhulu",NA,NA,NA,NA,NA,"[ques_language] = '2'","y",NA,NA,"s6_matrixx",NA,NA
"1235","1236","99.9",NA,NA,NA,NA,"s6_q7x","questionnaires",NA,"radio","Abantu abafuni ukuthetha nabantu abanesifo sephepha","3, Uvumelana kakhulu | 2, Uyavumelana | 1, Awuvumelani | 0, Awuvumelani kakhulu",NA,NA,NA,NA,NA,"[ques_language] = '2'","y",NA,NA,"s6_matrixx",NA,NA
"1235","1236","99.9",NA,NA,NA,NA,"s6_q8x","questionnaires",NA,"radio","Abantu bayaboyika abo banesifo sephepha","3, Uvumelana kakhulu | 2, Uyavumelana | 1, Awuvumelani | 0, Awuvumelani kakhulu",NA,NA,NA,NA,NA,"[ques_language] = '2'","y",NA,NA,"s6_matrixx",NA,NA
"1235","1236","99.9",NA,NA,NA,NA,"s6_q9x","questionnaires",NA,"radio","Abantu bayazama ukungababambi abo banesifo sephepha","3, Uvumelana kakhulu | 2, Uyavumelana | 1, Awuvumelani | 0, Awuvumelani kakhulu",NA,NA,NA,NA,NA,"[ques_language] = '2'","y",NA,NA,"s6_matrixx",NA,NA
"1235","1236","99.9",NA,NA,NA,NA,"s6_q10x","questionnaires",NA,"radio","Abantu bakhetha ukuba abo banesifo sephepha bangahlali nabo kwindawo abahlala kuzo ekuhlaleni","3, Uvumelana kakhulu | 2, Uyavumelana | 1, Awuvumelani | 0, Awuvumelani kakhulu",NA,NA,NA,NA,NA,"[ques_language] = '2'","y",NA,NA,"s6_matrixx",NA,NA
NA,NA,NA,NA,NA,NA,NA,"instruct8","questionnaires",NA,"descriptive","<div class=""rich-text-field-label""><p><span style=""color: #236fa1;"">The following statements are <span style=""text-decoration: underline;"">possible descriptions of the community where you live</span>. Please indicate whether you agree or disagree with each statement by selecting the appropriate response.</span></p></div>",NA,NA,NA,NA,NA,NA,"[ques_language] = '1'",NA,NA,NA,NA,NA,NA
"2343","2344","100",NA,NA,NA,NA,"a1_eng","questionnaires",NA,"radio","1. People in the community where I live feel like they belong  to the community","1, Strongly Disagree|2, Disagree|3, Neither Disagree nor Agree|4, Agree|5, Strongly Agree",NA,NA,NA,NA,NA,"[ques_language] = '1'","y",NA,NA,"cart_eng",NA,NA
"2343","2344","100",NA,NA,NA,NA,"a2_eng","questionnaires",NA,"radio","2. People in the community where I live are committed to  the well-being of the community.","1, Strongly Disagree|2, Disagree|3, Neither Disagree nor Agree|4, Agree|5, Strongly Agree",NA,NA,NA,NA,NA,"[ques_language] = '1'","y",NA,NA,"cart_eng",NA,NA
"2343","2344","100",NA,NA,NA,NA,"a3_eng","questionnaires",NA,"radio","3. People in the community where I live have hope about the future.","1, Strongly Disagree|2, Disagree|3, Neither Disagree nor Agree|4, Agree|5, Strongly Agree",NA,NA,NA,NA,NA,"[ques_language] = '1'","y",NA,NA,"cart_eng",NA,NA
"2343","2344","100",NA,NA,NA,NA,"a4_eng","questionnaires",NA,"radio","4. People in the community where I live help each other.","1, Strongly Disagree|2, Disagree|3, Neither Disagree nor Agree|4, Agree|5, Strongly Agree",NA,NA,NA,NA,NA,"[ques_language] = '1'","y",NA,NA,"cart_eng",NA,NA
"2343","2344","100",NA,NA,NA,NA,"a5_eng","questionnaires",NA,"radio","5. The community where I live treats people fairly no matter  what their background is.","1, Strongly Disagree|2, Disagree|3, Neither Disagree nor Agree|4, Agree|5, Strongly Agree",NA,NA,NA,NA,NA,"[ques_language] = '1'","y",NA,NA,"cart_eng",NA,NA
"2343","2344","100",NA,NA,NA,NA,"a6_eng","questionnaires",NA,"radio","6. The community where I live supports programs for           children and families.","1, Strongly Disagree|2, Disagree|3, Neither Disagree nor Agree|4, Agree|5, Strongly Agree",NA,NA,NA,NA,NA,"[ques_language] = '1'","y",NA,NA,"cart_eng",NA,NA
"2343","2344","100",NA,NA,NA,NA,"a7_eng","questionnaires",NA,"radio","7. People in the community where I live work together to improve the community.","1, Strongly Disagree|2, Disagree|3, Neither Disagree nor Agree|4, Agree|5, Strongly Agree",NA,NA,NA,NA,NA,"[ques_language] = '1'","y",NA,NA,"cart_eng",NA,NA
"2342","2344","99.9",NA,NA,NA,NA,"a8_eng","questionnaires",NA,"radio","8. People in the community where I live can be trusted.","1, Strongly Disagree|2, Disagree|3, Neither Disagree nor Agree|4, Agree|5, Strongly Agree",NA,NA,NA,NA,NA,"[ques_language] = '1'","y",NA,NA,"cart_eng",NA,NA
"2343","2344","100",NA,NA,NA,NA,"a9_eng","questionnaires",NA,"radio","9. The community where I live has the resources it needs to take care of problems in the community (Resources may include money, information, technology, tools, materials, and services)","1, Strongly Disagree|2, Disagree|3, Neither Disagree nor Agree|4, Agree|5, Strongly Agree",NA,NA,NA,NA,NA,"[ques_language] = '1'","y",NA,NA,"cart_eng",NA,NA
"2343","2344","100",NA,NA,NA,NA,"a10_eng","questionnaires",NA,"radio","10. People in the community where I live are able to get the  services they need.","1, Strongly Disagree|2, Disagree|3, Neither Disagree nor Agree|4, Agree|5, Strongly Agree",NA,NA,NA,NA,NA,"[ques_language] = '1'","y",NA,NA,"cart_eng",NA,NA
"2343","2344","100",NA,NA,NA,NA,"a11_eng","questionnaires",NA,"radio","11. People in the community where I live know where to go to get things done.","1, Strongly Disagree|2, Disagree|3, Neither Disagree nor Agree|4, Agree|5, Strongly Agree",NA,NA,NA,NA,NA,"[ques_language] = '1'","y",NA,NA,"cart_eng",NA,NA
"2343","2344","100",NA,NA,NA,NA,"a12_eng","questionnaires",NA,"radio","12. The community where I live works with different people and groups outside the community to get things done.","1, Strongly Disagree|2, Disagree|3, Neither Disagree nor Agree|4, Agree|5, Strongly Agree",NA,NA,NA,NA,NA,"[ques_language] = '1'","y",NA,NA,"cart_eng",NA,NA
"2342","2344","99.9",NA,NA,NA,NA,"a17_eng","questionnaires",NA,"radio","17. The community where I live has effective leaders.","1, Strongly Disagree|2, Disagree|3, Neither Disagree nor Agree|4, Agree|5, Strongly Agree",NA,NA,NA,NA,NA,"[ques_language] = '1'","y",NA,NA,"cart_eng",NA,NA
NA,NA,NA,NA,NA,NA,NA,"cart_section2","questionnaires",NA,"descriptive","<div class=""rich-text-field-label""><p><span style=""color: #236fa1;"">The following statements are more <span style=""text-decoration: underline;"">possible descriptions of the community where you live</span>. Please indicate whether you agree or disagree with each statement by selecting the appropriate response.</span></p></div>",NA,NA,NA,NA,NA,NA,"[ques_language] = '1'",NA,NA,NA,NA,NA,NA
"2343","2344","100",NA,NA,NA,NA,"a29_eng","questionnaires",NA,"radio","1. People in the community where I live care about each other.","1, Strongly Disagree|2, Disagree|3, Neither Disagree nor Agree|4, Agree|5, Strongly Agree",NA,NA,NA,NA,NA,"[ques_language] = '1'","y",NA,NA,NA,NA,NA
"2343","2344","100",NA,NA,NA,NA,"a30_eng","questionnaires",NA,"radio","2. The community where I live is a safe place to live and  work.","1, Strongly Disagree|2, Disagree|3, Neither Disagree nor Agree|4, Agree|5, Strongly Agree",NA,NA,NA,NA,NA,"[ques_language] = '1'","y",NA,NA,NA,NA,NA
"2343","2344","100",NA,NA,NA,NA,"a31_eng","questionnaires",NA,"radio","3. Good housing is available for people who live in the community where I live.","1, Strongly Disagree|2, Disagree|3, Neither Disagree nor Agree|4, Agree|5, Strongly Agree",NA,NA,NA,NA,NA,"[ques_language] = '1'","y",NA,NA,NA,NA,NA
"2343","2344","100",NA,NA,NA,NA,"a32_eng","questionnaires",NA,"radio","4. People in the community where I live can access necessary health care services.","1, Strongly Disagree|2, Disagree|3, Neither Disagree nor Agree|4, Agree|5, Strongly Agree",NA,NA,NA,NA,NA,"[ques_language] = '1'","y",NA,NA,NA,NA,NA
"2343","2344","100",NA,NA,NA,NA,"a33_eng","questionnaires",NA,"radio","5. Good educational opportunities are available to people who live in the community where I live.","1, Strongly Disagree|2, Disagree|3, Neither Disagree nor Agree|4, Agree|5, Strongly Agree",NA,NA,NA,NA,NA,"[ques_language] = '1'","y",NA,NA,NA,NA,NA
"2343","2344","100",NA,NA,NA,NA,"a34_eng","questionnaires",NA,"radio","6. Good work opportunities  are available to people who live in the community where I live.","1, Strongly Disagree|2, Disagree|3, Neither Disagree nor Agree|4, Agree|5, Strongly Agree",NA,NA,NA,NA,NA,"[ques_language] = '1'","y",NA,NA,NA,NA,NA
"2343","2344","100",NA,NA,NA,NA,"a35_eng","questionnaires",NA,"radio","7. People in the community where I live have friendships with their neighbors.","1, Strongly Disagree|2, Disagree|3, Neither Disagree nor Agree|4, Agree|5, Strongly Agree",NA,NA,NA,NA,NA,"[ques_language] = '1'","y",NA,NA,NA,NA,NA
"2342","2344","99.9",NA,NA,NA,NA,"a36_eng","questionnaires",NA,"radio","8. People in the community where I live have opportunities to become leaders in the community or in local organizations","1, Strongly Disagree|2, Disagree|3, Neither Disagree nor Agree|4, Agree|5, Strongly Agree",NA,NA,NA,NA,NA,"[ques_language] = '1'","y",NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,"cart_section3","questionnaires",NA,"descriptive","<div class=""rich-text-field-label""><p><span style=""color: #236fa1;""><span style=""text-decoration: underline;"">The following describe possible activities you may have participated in</span>. Please indicate how often you have done each of the following in the last month.</span></p></div>",NA,NA,NA,NA,NA,NA,"[ques_language] = '1'",NA,NA,NA,NA,NA,NA
"2343","2344","100",NA,NA,NA,NA,"a37_eng","questionnaires",NA,"radio","1. Spoken to your neighbors?","1, 0 times|2, 1-2 times|3, 3-5 times|4, 5-10 times|5, More than 10 times",NA,NA,NA,NA,NA,"[ques_language] = '1'","y",NA,NA,NA,NA,NA
"2343","2344","100",NA,NA,NA,NA,"a38_eng","questionnaires",NA,"radio","2. Helped a neighbor or received help from a neighbor?","1, 0 times|2, 1-2 times|3, 3-5 times|4, 5-10 times|5, More than 10 times",NA,NA,NA,NA,NA,"[ques_language] = '1'","y",NA,NA,NA,NA,NA
"2343","2344","100",NA,NA,NA,NA,"a39_eng","questionnaires",NA,"radio","3. Had neighbors in your home or been in their home?","1, 0 times|2, 1-2 times|3, 3-5 times|4, 5-10 times|5, More than 10 times",NA,NA,NA,NA,NA,"[ques_language] = '1'","y",NA,NA,NA,NA,NA
"2343","2344","100",NA,NA,NA,NA,"a40_eng","questionnaires",NA,"radio","4. Attended a public meeting in which there was a discussion of local community affairs? ","1, 0 times|2, 1-2 times|3, 3-5 times|4, 5-10 times|5, More than 10 times",NA,NA,NA,NA,NA,"[ques_language] = '1'","y",NA,NA,NA,NA,NA
"2343","2344","100",NA,NA,NA,NA,"a41_eng","questionnaires",NA,"radio","<div class=""rich-text-field-label""><p><span style=""color: #000000;"">5. Attended any organization meetings (who implement community initiatives)?</span></p></div>","1, 0 times|2, 1-2 times|3, 3-5 times|4, 5-10 times|5, More than 10 times",NA,NA,NA,NA,NA,"[ques_language] = '1'","y",NA,NA,NA,NA,NA
"2343","2344","100",NA,NA,NA,NA,"a42_eng","questionnaires",NA,"radio","6. Attended community events?","1, 0 times|2, 1-2 times|3, 3-5 times|4, 5-10 times|5, More than 10 times",NA,NA,NA,NA,NA,"[ques_language] = '1'","y",NA,NA,NA,NA,NA
"2343","2344","100",NA,NA,NA,NA,"a43_eng","questionnaires",NA,"radio","7. Volunteered for community initiatives?","1, 0 times|2, 1-2 times|3, 3-5 times|4, 5-10 times|5, More than 10 times",NA,NA,NA,NA,NA,"[ques_language] = '1'","y",NA,NA,NA,NA,NA
"2343","2344","100",NA,NA,NA,NA,"a44_eng","questionnaires",NA,"radio","8. Obtained [or got?] information from local news sources? ","1, 0 times|2, 1-2 times|3, 3-5 times|4, 5-10 times|5, More than 10 times",NA,NA,NA,NA,NA,"[ques_language] = '1'","y",NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,"instruct33","questionnaires",NA,"descriptive","<div class=""rich-text-field-label""><p><span style=""color: #236fa1;"">Ezi nkcazo zilandelayo <span style=""text-decoration: underline;"">zinkcazo ezinokwenzeka kwindawo ohlala kuyo.</span> Nceda ubonise ukuba uyavumelana okanye awuvumelani nengxelo nganye ngokukhetha impendulo efanelekileyo.</span></p></div>",NA,NA,NA,NA,NA,NA,"[ques_language] = '2'",NA,NA,NA,NA,NA,NA
"1235","1236","99.9",NA,NA,NA,NA,"a1_x","questionnaires",NA,"radio","1. Abantu kwindawo endihlala kuyo baziva ngathi bangabantu basekuhlaleni","1, Andivumi kakhulu|2, Andivumi|3, Ndingavumelana okanye ndingavumelani|4, Ndiyavuma|5, Ndiyavuma kakhulu",NA,NA,NA,NA,NA,"[ques_language] = '2'","y",NA,NA,"cart_xho",NA,NA
"1235","1236","99.9",NA,NA,NA,NA,"a2_x","questionnaires",NA,"radio","2. Abantu kwindawo endihlala kuyo bazibophelele kwintlalontle yoluntu","1, Andivumi kakhulu|2, Andivumi|3, Ndingavumelana okanye ndingavumelani|4, Ndiyavuma|5, Ndiyavuma kakhulu",NA,NA,NA,NA,NA,"[ques_language] = '2'","y",NA,NA,"cart_xho",NA,NA
"1235","1236","99.9",NA,NA,NA,NA,"a3_x","questionnaires",NA,"radio","3. Abantu kwindawo endihlala kuyo banethemba ngekamva","1, Andivumi kakhulu|2, Andivumi|3, Ndingavumelana okanye ndingavumelani|4, Ndiyavuma|5, Ndiyavuma kakhulu",NA,NA,NA,NA,NA,"[ques_language] = '2'","y",NA,NA,"cart_xho",NA,NA
"1235","1236","99.9",NA,NA,NA,NA,"a4_x","questionnaires",NA,"radio","4. Abantu kwindawo endihlala kuyo bayancedana","1, Andivumi kakhulu|2, Andivumi|3, Ndingavumelana okanye ndingavumelani|4, Ndiyavuma|5, Ndiyavuma kakhulu",NA,NA,NA,NA,NA,"[ques_language] = '2'","y",NA,NA,"cart_xho",NA,NA
"1235","1236","99.9",NA,NA,NA,NA,"a5_x","questionnaires",NA,"radio","5. Indawo endihlala kuyo ibaphatha kakuhle abantu nokuba batheni na","1, Andivumi kakhulu|2, Andivumi|3, Ndingavumelana okanye ndingavumelani|4, Ndiyavuma|5, Ndiyavuma kakhulu",NA,NA,NA,NA,NA,"[ques_language] = '2'","y",NA,NA,"cart_xho",NA,NA
"1235","1236","99.9",NA,NA,NA,NA,"a6_x","questionnaires",NA,"radio","6. Indawo endihlala kuyo ixhasa iinkqubo  zabantwana nezeentsapho","1, Andivumi kakhulu|2, Andivumi|3, Ndingavumelana okanye ndingavumelani|4, Ndiyavuma|5, Ndiyavuma kakhulu",NA,NA,NA,NA,NA,"[ques_language] = '2'","y",NA,NA,"cart_xho",NA,NA
"1235","1236","99.9",NA,NA,NA,NA,"a7_x","questionnaires",NA,"radio","7. Abantu kwindawo endihlala kuyo bayasebenzisana ukuphucula uluntu","1, Andivumi kakhulu|2, Andivumi|3, Ndingavumelana okanye ndingavumelani|4, Ndiyavuma|5, Ndiyavuma kakhulu",NA,NA,NA,NA,NA,"[ques_language] = '2'","y",NA,NA,"cart_xho",NA,NA
"1235","1236","99.9",NA,NA,NA,NA,"a8_x","questionnaires",NA,"radio","8. Abantu kwindawo endihlala kuyo banokuthenjwa","1, Andivumi kakhulu|2, Andivumi|3, Ndingavumelana okanye ndingavumelani|4, Ndiyavuma|5, Ndiyavuma kakhulu",NA,NA,NA,NA,NA,"[ques_language] = '2'","y",NA,NA,"cart_xho",NA,NA
"1235","1236","99.9",NA,NA,NA,NA,"a9_x","questionnaires",NA,"radio","9. Uluntu lwendawo endihlalakuyo lunezixhobo eziludingayo ukuze lukwazi ukujongana neengxaki zoluntu (imithombo yolwazi inokuquka imali, ulwazi, teknoloji, izixhobo kunye neenkonzo)","1, Andivumi kakhulu|2, Andivumi|3, Ndingavumelana okanye ndingavumelani|4, Ndiyavuma|5, Ndiyavuma kakhulu",NA,NA,NA,NA,NA,"[ques_language] = '2'","y",NA,NA,"cart_xho",NA,NA
"1235","1236","99.9",NA,NA,NA,NA,"a10_x","questionnaires",NA,"radio","10. Abantu kwindawo endihlala kuyo bayakwazi ukufumana iinkonzo abazidingayo.","1, Andivumi kakhulu|2, Andivumi|3, Ndingavumelana okanye ndingavumelani|4, Ndiyavuma|5, Ndiyavuma kakhulu",NA,NA,NA,NA,NA,"[ques_language] = '2'","y",NA,NA,"cart_xho",NA,NA
"1235","1236","99.9",NA,NA,NA,NA,"a11_x","questionnaires",NA,"radio","11. Abantu kwindawo endihlala kuyo bayayazi apho mabaye khona ukuze izinto zenzeke","1, Andivumi kakhulu|2, Andivumi|3, Ndingavumelana okanye ndingavumelani|4, Ndiyavuma|5, Ndiyavuma kakhulu",NA,NA,NA,NA,NA,"[ques_language] = '2'","y",NA,NA,"cart_xho",NA,NA
"1235","1236","99.9",NA,NA,NA,NA,"a12_x","questionnaires",NA,"radio","12. Uluntu endihlala nalo lusebenza nabantu abohlukeneyo kunye namaqela angaphandle koluntu ukuze kwenziwe izinto.","1, Andivumi kakhulu|2, Andivumi|3, Ndingavumelana okanye ndingavumelani|4, Ndiyavuma|5, Ndiyavuma kakhulu",NA,NA,NA,NA,NA,"[ques_language] = '2'","y",NA,NA,"cart_xho",NA,NA
"1235","1236","99.9",NA,NA,NA,NA,"a17_x","questionnaires",NA,"radio","17. Indawo endihlala kuyo ineenkokheli ezisebenzayo","1, Andivumi kakhulu|2, Andivumi|3, Ndingavumelana okanye ndingavumelani|4, Ndiyavuma|5, Ndiyavuma kakhulu",NA,NA,NA,NA,NA,"[ques_language] = '2'","y",NA,NA,"cart_xho",NA,NA
NA,NA,NA,NA,NA,NA,NA,"cart_section2_x","questionnaires",NA,"descriptive","<div class=""rich-text-field-label""><p><span style=""color: #236fa1;"">Ezi nkcazelo zilandelayo <span style=""text-decoration: underline;"">zinkcazelo ezinokwenzeka kwindawo ohlala kuyo.</span> Nceda ubonise ukuba uyavumelana okanye awuvumelani nengxelo nganye ngokukhetha impendulo efanelekileyo.</span></p></div>",NA,NA,NA,NA,NA,NA,"[ques_language] = '2'",NA,NA,NA,NA,NA,NA
"1235","1236","99.9",NA,NA,NA,NA,"a29_x","questionnaires",NA,"radio","1. Abantu kwindawo endihlala kuyo bayakhathalelana","1, Andivumi kakhulu|2, Andivumi|3, Ndingavumelana okanye ndingavumelani|4, Ndiyavuma|5, Ndiyavuma kakhulu",NA,NA,NA,NA,NA,"[ques_language] = '2'","y",NA,NA,NA,NA,NA
"1235","1236","99.9",NA,NA,NA,NA,"a30_x","questionnaires",NA,"radio","2. Indawo endihlala kuyo yindawo ekhuselekileyo yokuhlala nokusebenza.","1, Andivumi kakhulu|2, Andivumi|3, Ndingavumelana okanye ndingavumelani|4, Ndiyavuma|5, Ndiyavuma kakhulu",NA,NA,NA,NA,NA,"[ques_language] = '2'","y",NA,NA,NA,NA,NA
"1235","1236","99.9",NA,NA,NA,NA,"a31_x","questionnaires",NA,"radio","3. Izindlu ezisemgangathweni ziyafumaneka kubantu abahlala kwindawo endihlala kuyo","1, Andivumi kakhulu|2, Andivumi|3, Ndingavumelana okanye ndingavumelani|4, Ndiyavuma|5, Ndiyavuma kakhulu",NA,NA,NA,NA,NA,"[ques_language] = '2'","y",NA,NA,NA,NA,NA
"1235","1236","99.9",NA,NA,NA,NA,"a32_x","questionnaires",NA,"radio","4. Abantu kwindawo endihlala kuyo banokufikelela kwiinkonzo zempilo eziyimfuneko","1, Andivumi kakhulu|2, Andivumi|3, Ndingavumelana okanye ndingavumelani|4, Ndiyavuma|5, Ndiyavuma kakhulu",NA,NA,NA,NA,NA,"[ques_language] = '2'","y",NA,NA,NA,NA,NA
"1235","1236","99.9",NA,NA,NA,NA,"a33_x","questionnaires",NA,"radio","5. Amathuba amahle emfundo ayafumaneka kubantu abahlala kwindawo endihlala kuyo","1, Andivumi kakhulu|2, Andivumi|3, Ndingavumelana okanye ndingavumelani|4, Ndiyavuma|5, Ndiyavuma kakhulu",NA,NA,NA,NA,NA,"[ques_language] = '2'","y",NA,NA,NA,NA,NA
"1235","1236","99.9",NA,NA,NA,NA,"a34_x","questionnaires",NA,"radio","6. Amathuba amahle womsebenzi ayafumaneka kulendawo ndihlala kuyo","1, Andivumi kakhulu|2, Andivumi|3, Ndingavumelana okanye ndingavumelani|4, Ndiyavuma|5, Ndiyavuma kakhulu",NA,NA,NA,NA,NA,"[ques_language] = '2'","y",NA,NA,NA,NA,NA
"1235","1236","99.9",NA,NA,NA,NA,"a35_x","questionnaires",NA,"radio","7. Abantu kwindawo endihlala kuyo banobudlelwane naba mmelwane babo.","1, Andivumi kakhulu|2, Andivumi|3, Ndingavumelana okanye ndingavumelani|4, Ndiyavuma|5, Ndiyavuma kakhulu",NA,NA,NA,NA,NA,"[ques_language] = '2'","y",NA,NA,NA,NA,NA
"1234","1236","99.8",NA,NA,NA,NA,"a36_x","questionnaires",NA,"radio","8. Abantu kwindawo endihlala kuyo banamathuba okuba zinkokheli ekuhlaleni okanye kwimibutho yasekuhlaleni.","1, Andivumi kakhulu|2, Andivumi|3, Ndingavumelana okanye ndingavumelani|4, Ndiyavuma|5, Ndiyavuma kakhulu",NA,NA,NA,NA,NA,"[ques_language] = '2'","y",NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,"cart_section3_x","questionnaires",NA,"descriptive","<div class=""rich-text-field-label""><p><span style=""color: #236fa1;""><span style=""text-decoration: underline;"">Oku kulandelayo kuchaza imisebenzi onokuthi uthathe inxaxheba kuyo.</span> Nceda ubonise uba uye wenza kangaphi oku kulandelayo kwinyanga ephelileyo.</span></p></div>",NA,NA,NA,NA,NA,NA,"[ques_language] = '2'",NA,NA,NA,NA,NA,NA
"1235","1236","99.9",NA,NA,NA,NA,"a37_x","questionnaires",NA,"radio","1. Ukuthetha no mmelwane","1, Zange|2, Amaxesha 1-2|3, Amaxesha 3-5|4, Amaxesha 5-10|5, Ngaphezulu kwamaxesha ayi10",NA,NA,NA,NA,NA,"[ques_language] = '2'","y",NA,NA,NA,NA,NA
"1234","1236","99.8",NA,NA,NA,NA,"a38_x","questionnaires",NA,"radio","2. Ukunceda ummelwane okanye ukufumana uncedo ku mmelwane","1, Zange|2, Amaxesha 1-2|3, Amaxesha 3-5|4, Amaxesha 5-10|5, Ngaphezulu kwamaxesha ayi10",NA,NA,NA,NA,NA,"[ques_language] = '2'","y",NA,NA,NA,NA,NA
"1235","1236","99.9",NA,NA,NA,NA,"a39_x","questionnaires",NA,"radio","3. Ukuzobonwa ngu mmelwane okanye ukuyobabona","1, Zange|2, Amaxesha 1-2|3, Amaxesha 3-5|4, Amaxesha 5-10|5, Ngaphezulu kwamaxesha ayi10",NA,NA,NA,NA,NA,"[ques_language] = '2'","y",NA,NA,NA,NA,NA
"1235","1236","99.9",NA,NA,NA,NA,"a40_x","questionnaires",NA,"radio","4. Uzimasa intlanganiso yoluntu apho bekuxoxwa ngemicimbi yasekuhlaleni","1, Zange|2, Amaxesha 1-2|3, Amaxesha 3-5|4, Amaxesha 5-10|5, Ngaphezulu kwamaxesha ayi10",NA,NA,NA,NA,NA,"[ques_language] = '2'","y",NA,NA,NA,NA,NA
"1235","1236","99.9",NA,NA,NA,NA,"a41_x","questionnaires",NA,"radio","<div class=""rich-text-field-label""><p><span style=""color: #000000;"">5. </span><strong><span style=""color: #000000;"">Ukhe uye kwintlanganiso zemibutho eziza n</span>ophuhliso ekulhlaleni?</strong></p></div>","1, Zange|2, Amaxesha 1-2|3, Amaxesha 3-5|4, Amaxesha 5-10|5, Ngaphezulu kwamaxesha ayi10",NA,NA,NA,NA,NA,"[ques_language] = '2'","y",NA,NA,NA,NA,NA
"1235","1236","99.9",NA,NA,NA,NA,"a42_x","questionnaires",NA,"radio","6. Uzimasa umcimbi woluntu","1, Zange|2, Amaxesha 1-2|3, Amaxesha 3-5|4, Amaxesha 5-10|5, Ngaphezulu kwamaxesha ayi10",NA,NA,NA,NA,NA,"[ques_language] = '2'","y",NA,NA,NA,NA,NA
"1235","1236","99.9",NA,NA,NA,NA,"a43_x","questionnaires",NA,"radio","<div class=""rich-text-field-label""><p><span style=""color: #000000;"">7. <strong>Ukhe wazinikezela ekuthatheni inxaxeba kwizinto zokuhlala?</strong></span></p></div>","1, Zange|2, Amaxesha 1-2|3, Amaxesha 3-5|4, Amaxesha 5-10|5, Ngaphezulu kwamaxesha ayi10",NA,NA,NA,NA,NA,"[ques_language] = '2'","y",NA,NA,NA,NA,NA
